emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,gesture
15,100,37,69,1,30,3,1,0
8,95,100,61,2,29,2,2,0
37,100,50,1,5,5,9,9,0
7,100,48,57,11,1,2,2,0
26,34,70,100,18,8,14,18,0
15,35,100,3,28,6,15,5,0
34,48,100,0,7,13,6,12,0
0,100,77,50,6,17,6,13,0
16,100,52,62,34,9,3,1,0
35,57,57,100,84,31,24,17,0
26,58,100,77,3,0,12,16,0
17,100,90,46,13,0,0,2,0
23,100,72,34,8,7,1,4,0
16,3,16,100,44,5,6,1,0
10,100,85,26,5,7,9,6,0
18,100,58,40,1,1,1,3,0
23,100,84,100,3,0,1,10,0
19,100,72,68,40,14,19,10,0
25,14,2,100,17,9,5,7,0
19,5,100,12,5,0,17,23,0
35,39,100,0,1,16,10,16,0
1,86,100,100,0,30,13,15,0
79,29,4,100,81,15,0,22,0
8,25,100,30,8,0,2,2,0
2,35,50,100,52,45,10,8,0
25,44,100,8,14,2,3,6,0
7,40,36,100,1,3,5,6,0
37,68,100,69,55,21,18,18,0
82,32,100,22,2,7,14,35,0
7,76,100,66,6,8,2,1,0
25,100,51,80,48,66,3,12,0
32,100,30,24,26,8,6,12,0
19,100,9,11,33,59,30,21,0
47,90,100,51,28,5,14,20,0
63,12,100,42,8,4,21,29,0
45,100,20,9,2,27,11,18,0
26,100,75,62,2,11,11,20,0
20,4,25,100,5,8,5,7,0
100,0,31,97,4,24,24,34,0
9,100,6,13,4,8,3,2,0
18,94,100,81,22,24,14,18,0
15,66,100,84,7,6,3,9,0
7,50,100,20,19,1,0,1,0
8,6,100,16,23,0,5,0,0
10,100,2,60,21,8,2,2,0
25,38,100,59,10,17,0,3,0
56,86,96,100,33,0,4,11,0
23,100,93,5,8,3,4,8,0
35,54,100,100,25,3,0,6,0
5,100,69,43,7,1,1,5,0
30,30,100,66,13,12,8,15,0
10,59,100,13,26,1,2,4,0
6,94,100,72,28,12,6,2,0
18,100,75,30,1,2,4,1,0
0,33,100,11,11,3,0,0,0
16,100,80,36,3,11,1,3,0
9,100,75,42,7,0,1,0,0
12,50,100,69,22,9,4,3,0
23,100,0,44,26,0,1,4,0
47,94,100,13,41,27,8,11,0
10,61,100,0,68,10,11,7,0
22,100,25,42,24,2,4,12,0
52,100,8,30,26,15,16,23,0
38,70,100,8,53,26,3,8,0
10,39,100,36,47,6,15,15,0
1,100,27,12,26,4,2,1,0
48,55,71,100,30,15,13,17,0
28,100,73,50,40,61,0,11,0
0,47,47,100,0,2,11,10,0
1,6,100,64,27,1,7,15,0
11,47,100,41,14,4,6,5,0
